Soil_Type,Soil_Moisture_%,Shear_Strength_kPa,Bearing_Capacity_kPa,Excavation_Depth_m,Retaining_Wall_Type,Support_System,Deformation_mm,Rainfall_mm_day,Temperature_C,Groundwater_Level_m,Seismic_Activity,Ground_Settlement_mm,Wall_Displacement_mm,Pore_Water_Pressure_kPa,Strain_Gauge,Risk_Level
Silt,20.3353799,253.2464347,131.2287968,12.05253435,Sheet Pile,Bracing,8.698185295,43.05380916,14.84014475,8.785307492,1,19.97282801,47.25942899,140.4383148,65.91299126,2
Silt,15.45607591,229.5307691,541.7323815,4.809446519,Diaphragm Wall,Bracing,18.06080295,162.2209133,37.12014706,3.018346609,0,24.23106064,15.68676294,405.5333571,5.057556608,0
Silt,28.31821208,288.880924,324.1595277,29.3342646,Diaphragm Wall,Bracing,31.86510783,39.44853323,41.92521323,6.502969741,1,41.40678258,22.12945117,402.6663449,49.33002162,2
Silt,26.65159724,54.55814567,355.2162445,25.0582955,Sheet Pile,Bracing,3.534830409,42.70749558,8.477038436,3.290057297,0,23.27302419,5.731997179,100.6732171,29.59926251,2
Rock,6.130466753,98.94449642,413.2962555,26.01878037,Secant Pile,Bracing,18.07700939,135.2186068,20.83819648,3.914542708,1,49.13490903,41.8462165,460.4290038,32.61850613,2
Clay,5.659174362,51.89071874,563.1913034,28.32506125,Diaphragm Wall,Bracing,26.73997331,81.00021972,-4.771890474,2.62112972,0,87.24655233,1.381591643,137.5833412,96.09174316,2
Rock,14.41158417,211.8686785,109.5580472,5.297794125,Diaphragm Wall,Anchors,49.81122465,186.3088814,1.025797627,3.430440058,1,71.20634214,41.6995381,325.8398037,18.26948127,2
Rock,25.26383327,274.5076372,338.4217342,13.411135,Secant Pile,Bracing,23.72667813,17.80194698,12.74061717,4.107004006,1,57.99619805,7.014250639,493.535129,31.12452526,2
Rock,29.68190323,110.8705741,443.8610212,4.917942004,Secant Pile,Bracing,40.80283786,102.3051282,1.341149375,7.204160691,1,8.900317798,44.32820563,447.0784406,50.98925757,2
Silt,8.760422278,281.7586362,461.3534788,8.691413742,Sheet Pile,Bracing,21.60336425,183.7043061,38.21082699,5.115361942,0,69.39921084,36.48863187,480.4537679,86.30269481,1
Sand,19.85326788,65.06684757,446.2662158,9.19287598,Secant Pile,Bracing,39.81953613,180.8227321,-1.294255917,9.435652172,0,16.64142843,8.233513125,204.169447,41.66700832,0
Clay,14.52227142,283.6090067,167.2175647,15.6658947,Sheet Pile,Anchors,29.77074008,31.30584268,15.06134519,0.418803938,0,78.6367386,28.29089964,97.509039,74.38652809,1
Sand,29.24785995,137.9056718,249.6977942,10.25117852,Secant Pile,Bracing,44.32977208,73.32754002,23.31345823,5.030683226,1,25.00567585,15.63281572,134.756093,85.63740982,2
Rock,26.05297308,75.35520711,279.3577627,5.726408884,Diaphragm Wall,Anchors,20.54712762,123.82428,28.05251495,5.842247888,0,41.70487283,8.911654946,275.2227028,31.00163558,1
Rock,25.95821762,171.4679398,502.2186038,7.522259406,Sheet Pile,Bracing,30.21522099,31.87897695,11.06881533,9.201969861,1,35.04702023,42.95910997,406.9533552,39.27501835,2
Sand,16.71732899,114.1941419,239.3799362,6.976440216,Sheet Pile,Bracing,31.50093403,193.6044344,37.80044878,0.491585236,1,85.88139147,20.17613833,117.5691399,35.65562237,2
Sand,15.37048756,121.2182255,205.3524819,29.27307354,Sheet Pile,Bracing,20.86914709,182.9498657,21.25755331,5.734995849,1,12.65444587,19.92718572,346.8791895,83.28558086,2
Sand,11.8351768,126.8224912,578.7240095,23.50089769,Secant Pile,Bracing,7.215602184,33.39003581,14.17292792,8.536299285,0,56.56448824,8.49433374,195.6099218,4.434686195,2
Rock,6.409387416,250.7564745,104.4316426,29.12955956,Diaphragm Wall,Anchors,4.677970346,24.23109225,-6.301765127,2.419277281,1,14.20616094,19.1532838,203.5409326,30.84210888,2
Rock,26.61805941,184.7903192,598.9104278,14.87299314,Sheet Pile,Anchors,0.83357753,17.08169656,15.55792076,8.762923485,0,70.47958361,43.58084232,347.8629786,67.94085576,2
Clay,25.32252523,127.8269248,438.4106494,10.515949,Sheet Pile,Bracing,43.67671321,181.8887328,35.14047124,0.190434093,1,90.50781278,18.15643552,260.1497388,56.54434996,2
Clay,29.99294183,202.5834458,514.2346497,24.55391632,Sheet Pile,Bracing,11.82374561,38.72476196,23.799756,7.324546291,1,43.46076539,47.58017812,415.4149819,43.62893593,2
Rock,29.91592093,229.0376686,247.3096982,11.80885579,Sheet Pile,Anchors,10.57533746,83.25698571,35.76893496,9.331132212,1,48.80922603,47.31544496,120.1633293,53.99482272,2
Sand,18.88579264,118.1560002,107.1576388,11.08335109,Diaphragm Wall,Anchors,36.80177002,89.77027313,17.17064188,6.571976616,0,92.74228365,7.244932965,405.4767214,19.75845858,2
Sand,24.22468538,153.3872754,468.9347593,9.27766179,Secant Pile,Anchors,16.00080565,119.8022088,-3.48460622,4.39029244,0,52.09913886,8.865562676,78.90586163,43.07166216,1
Clay,28.61914325,80.47152333,517.0722985,6.501332412,Diaphragm Wall,Bracing,25.30223462,14.34706875,-9.249808479,0.448810165,1,48.7598438,43.13370352,137.3242461,50.17029842,2
Rock,26.24118477,95.28733738,470.238066,9.924502647,Sheet Pile,Bracing,8.125553265,45.35172348,6.67707507,9.201138133,0,57.83291027,19.63804595,345.2673715,90.1189122,1
Clay,11.18370254,220.2794635,171.4251437,12.59363321,Diaphragm Wall,Anchors,47.98728607,186.2980774,28.38947593,4.702962227,0,68.92297364,0.218699114,434.7165454,26.08351628,1
Clay,16.26360338,95.35958692,476.7139611,21.19784362,Sheet Pile,Bracing,42.57907,181.6820215,33.46429472,0.289967443,1,10.68833751,13.69359099,163.7058325,86.78285022,2
Silt,8.228985379,181.2908459,484.4613911,4.68925074,Secant Pile,Anchors,43.18948115,156.2581295,6.266405904,6.898210713,1,82.11105277,29.88144966,197.2362226,64.42414008,2
Silt,28.85127568,227.2615654,429.2702578,8.683687371,Secant Pile,Anchors,20.33868743,3.880249124,17.26096565,4.818372536,0,43.55050275,39.9632983,291.7043367,2.034083107,1
Silt,20.15436586,76.71923077,483.0579664,24.84363829,Secant Pile,Bracing,38.11806069,65.4013537,13.16153974,1.243453174,1,7.23485099,6.669430855,145.2077629,72.46313369,2
Sand,10.71607014,191.8280549,522.9607198,6.966891937,Sheet Pile,Anchors,7.193807769,125.5917471,12.57875314,2.142718093,1,78.61826692,5.527068221,415.0203177,3.555187755,2
Rock,21.79251711,114.1406959,406.8020571,12.25141896,Diaphragm Wall,Anchors,0.43095013,55.03804235,2.724179226,0.644906805,0,37.69499717,46.10463268,398.1364903,99.73811268,2
Rock,20.45320601,290.7317188,144.302357,26.34579089,Secant Pile,Bracing,0.998646629,181.917339,-2.499589223,5.742935397,0,10.03674951,37.55741839,115.3812704,87.26366877,2
Rock,13.95406795,170.8864117,343.8139048,7.182983401,Sheet Pile,Bracing,29.33008687,126.7778924,0.817870703,6.220294793,1,63.37790395,29.48898004,258.7233793,29.73437475,2
Rock,7.838939805,251.4981374,138.8246673,5.233894562,Sheet Pile,Bracing,22.76974526,14.38134346,-6.956718706,5.057422984,0,88.01313534,38.4593395,398.672495,25.74112302,2
Silt,21.78932989,187.5566355,303.7715155,16.08252587,Diaphragm Wall,Bracing,25.90076745,181.8011178,0.8971908,8.17102133,0,88.77535094,21.44271807,201.798289,38.14410821,2
Sand,18.00769252,60.85313321,303.5532446,11.1653268,Secant Pile,Bracing,0.373157021,191.5533316,-9.493950631,8.610088213,1,95.76634748,37.92278737,334.8980702,35.61669653,2
Sand,24.30795979,208.2878439,133.0049221,18.21202584,Sheet Pile,Bracing,21.13433098,15.54248368,24.49921203,6.156243967,1,86.77054598,18.59014956,72.59590466,37.23378184,2
Silt,18.00408753,287.8508356,274.410267,24.70273204,Diaphragm Wall,Anchors,35.90340806,106.472047,7.400647406,0.127564797,1,0.214091935,12.20472862,323.9099422,31.82765461,2
Sand,26.30453751,200.402955,155.4990494,6.70300918,Secant Pile,Bracing,22.1346851,60.67285644,43.52295913,6.952296557,1,38.02411664,36.45067106,118.693841,62.11334068,2
Silt,18.79767097,254.7972149,504.117605,18.67887528,Diaphragm Wall,Bracing,36.61096032,78.5678153,0.654437793,4.179992169,0,81.85425799,20.98361461,423.7624963,16.42636637,2
Rock,19.02344929,271.0516158,573.844013,16.64873653,Diaphragm Wall,Bracing,11.65094822,35.93024359,9.020571367,5.655574832,0,36.6253006,49.06885522,209.9522586,84.59812924,2
Silt,26.91634007,107.019943,136.1582376,6.890127222,Sheet Pile,Anchors,40.65710022,115.6144204,9.681263725,6.49080602,1,60.15485064,17.47425912,176.6992382,81.2402484,2
Rock,15.08707166,103.01121,577.5576036,19.84795911,Sheet Pile,Bracing,29.42156202,191.5958706,-9.535167717,3.502366143,1,60.63169474,46.08637103,428.4000395,47.64832079,2
Rock,8.350380711,202.7452472,361.2882997,10.38829128,Sheet Pile,Bracing,10.53815497,100.6145201,36.15643742,9.170985052,1,36.5025304,46.64812743,72.56481038,85.27299653,2
Clay,5.719566908,152.7571175,249.782839,16.1715266,Diaphragm Wall,Bracing,11.83602379,16.58291628,-8.240304692,1.339748667,1,90.44739273,12.09264735,228.4739597,24.714507,2
Silt,23.87843139,259.9653257,138.4310376,5.221352755,Sheet Pile,Bracing,31.40152323,124.0002667,41.70989091,6.715118073,0,50.32283454,39.91105908,216.5015933,1.75654557,1
Clay,20.50773878,275.0057808,350.312134,15.40876954,Diaphragm Wall,Anchors,41.49697966,68.04459889,39.06408931,0.0435958,0,46.47842059,21.65372526,178.1601684,61.9207925,1
Silt,22.6019942,138.3553448,497.2577722,11.27451364,Diaphragm Wall,Bracing,20.7813891,171.1850379,19.45370538,9.246511054,1,99.75137457,45.87623636,460.2894494,45.7909407,2
Silt,10.32410404,109.2176397,453.5432386,25.2042927,Sheet Pile,Anchors,12.91502146,86.93562966,19.89775662,1.125041332,1,49.35003641,22.50621363,387.9177771,56.71645463,2
Clay,8.40928689,245.1313788,125.1130057,4.538425629,Secant Pile,Anchors,43.35058035,38.56792179,25.95778576,0.948842301,0,17.83982519,37.21518587,78.76542389,89.9339409,1
Clay,5.363616642,118.7015089,136.4509177,14.30239642,Secant Pile,Bracing,33.46341459,38.22112454,11.28775066,3.330076331,0,51.30694229,23.34837046,371.6093522,96.99255736,1
Silt,13.76468897,255.6535796,301.4366413,15.37764845,Secant Pile,Anchors,22.40427436,153.7528361,25.59722559,3.73566286,0,81.40167355,11.39003779,287.2846099,63.44531398,2
Sand,19.74794217,155.9345634,247.645247,22.57516406,Diaphragm Wall,Bracing,24.39500976,53.11751966,-7.537738622,2.143000723,0,77.68603269,9.967506447,455.3905525,76.40555899,2
Rock,14.80610113,216.8874748,216.1921615,18.50576453,Diaphragm Wall,Bracing,10.2128234,153.4466788,-7.027380496,5.851216609,1,78.85817651,21.27155971,190.8255278,8.380843349,2
Clay,15.93687305,73.88382846,240.5022495,21.0147331,Diaphragm Wall,Anchors,31.3401315,41.17746215,15.14767308,4.42914098,0,70.8023784,37.77473285,308.3728998,16.07155849,2
Rock,27.60396736,205.9648312,501.7413716,23.98033071,Sheet Pile,Bracing,17.93712553,64.33727374,20.22922656,0.34175589,0,25.42178291,30.25357426,275.3398736,73.3204805,2
Sand,13.70638668,162.9419197,564.6140268,26.27948029,Diaphragm Wall,Bracing,49.78225883,93.09739449,38.82997022,3.196520623,0,86.20840858,34.4314645,270.3024078,43.13654564,2
Sand,17.84973723,196.6521158,302.5513473,11.47463841,Sheet Pile,Bracing,24.00917576,188.6391699,-4.243665135,8.104329136,1,89.34434654,14.11631754,255.2474298,44.59652704,2
Sand,24.59132532,92.00355194,553.0555011,17.52661304,Sheet Pile,Bracing,24.29428031,186.346285,35.245636,6.897015349,1,19.41526966,24.0717673,142.533264,30.86076816,2
Clay,14.91356956,234.2184362,260.7478506,25.68291812,Secant Pile,Bracing,28.29258937,41.37437508,1.552603551,7.248708536,0,13.04556366,2.219763248,390.0694651,60.73563835,2
Sand,20.55216751,265.6992694,338.2184932,29.71518054,Secant Pile,Anchors,45.83780016,71.64380825,11.67460067,6.981169241,0,97.56049686,40.8766208,253.1012147,18.51650454,2
Clay,26.55909272,104.18495,213.0144989,27.0170214,Secant Pile,Bracing,40.04090499,29.87987769,7.413133916,3.109730214,1,86.83239637,49.49460811,481.3323238,62.69162793,2
Sand,28.73801559,73.92863888,420.2380211,13.02961609,Sheet Pile,Bracing,22.55650349,101.9970159,12.00854001,0.996639221,1,89.32361472,20.34395313,167.3637922,17.37988571,2
Rock,8.676837023,55.90964651,589.4905576,8.269495965,Sheet Pile,Anchors,35.9349633,92.11651014,-1.722747606,2.72467184,0,88.63763846,0.548182657,357.2347278,6.382603471,2
Rock,28.16469063,210.4928751,401.746548,16.21359851,Sheet Pile,Bracing,29.31177494,180.1520325,17.69635409,8.317853002,1,54.1686824,8.489631978,473.3226858,33.03576887,2
Silt,17.30290733,201.773509,278.9070421,23.0243192,Diaphragm Wall,Bracing,24.61835244,186.0010756,34.09034244,9.804707978,0,64.64017367,32.62634389,348.5562454,23.1140342,2
Rock,11.45610971,186.6743532,423.908723,16.29936491,Sheet Pile,Bracing,9.615788639,76.7134782,14.28437057,4.938470147,1,54.53628521,30.60396591,442.0728084,88.89916386,2
Silt,16.47839391,107.986774,161.4603392,16.04588331,Secant Pile,Anchors,23.19681317,98.3475886,16.98374667,0.097003549,0,5.120634919,39.39323598,422.3664319,5.495345387,1
Rock,29.50081438,147.726499,544.3295401,25.63222137,Secant Pile,Bracing,12.29092935,179.2472498,36.68221719,1.400448121,0,74.55030854,12.69420055,212.052972,17.66136926,2
Clay,17.31545235,198.6190838,351.5419754,12.75790203,Sheet Pile,Anchors,45.74210749,161.3415615,28.83319631,3.220805753,1,50.53320333,38.18159578,320.055773,54.87196056,2
Rock,13.21879026,174.1917147,324.674871,26.21445622,Sheet Pile,Bracing,16.77034067,0.731262269,16.97499247,5.785853486,0,64.77090748,34.39920108,120.3176029,48.10671908,2
Silt,20.83502136,296.9463801,392.9323942,13.98372963,Secant Pile,Bracing,47.61320073,64.01191284,4.17326065,0.750936458,1,50.2639805,16.14072489,290.9866472,4.585201837,2
Silt,11.00364047,84.10993814,412.3919314,11.86229385,Sheet Pile,Bracing,26.6527645,84.35484839,38.67097108,9.433572987,1,49.18113223,27.2744074,153.6898873,0.725242802,2
Sand,6.896583203,223.7861385,135.8879031,15.2577276,Secant Pile,Bracing,31.57721893,45.94325674,21.73612209,3.650836733,1,17.17891095,7.363690425,384.6815667,98.8067942,2
Clay,8.221993048,151.079692,441.3086106,23.58606788,Diaphragm Wall,Anchors,27.14702222,39.91432318,2.163118556,9.125842179,0,27.87137151,22.62822517,287.6262899,65.88347004,2
Rock,8.201145974,157.0499037,220.9658402,6.402054752,Secant Pile,Bracing,6.469030848,7.556901319,4.801586395,7.805218028,0,15.88526919,44.05986698,235.0523132,36.54061309,2
Sand,8.797567338,229.3994414,456.9763163,8.303318829,Diaphragm Wall,Anchors,18.79106095,128.673945,34.17231989,7.554372725,0,19.56662956,21.05956899,170.9586933,47.04322477,1
Rock,8.470679316,223.1090378,511.2673972,28.68901029,Sheet Pile,Bracing,4.957305614,52.5020581,-7.571994085,6.067195798,1,97.29773804,41.97833532,499.4143168,26.65501205,2
Rock,21.02186862,297.8139984,501.9792538,7.738273939,Sheet Pile,Anchors,31.14770221,10.46943569,44.56507029,6.267838171,0,15.31134458,29.51266826,82.2697344,34.48737837,1
Sand,9.54700211,82.09857236,376.2504837,18.32863758,Diaphragm Wall,Anchors,22.34370976,46.19586211,-2.830657616,6.380032352,0,26.92704243,9.593835655,69.60230626,64.90444673,1
Sand,13.64168208,76.02741235,360.0849462,18.6414906,Sheet Pile,Bracing,38.89924858,160.3827906,33.7837689,6.28721387,0,59.05896577,29.05531223,147.7658302,88.28117989,1
Sand,27.41971025,231.0847043,171.4379807,16.21986048,Diaphragm Wall,Bracing,11.02352405,170.2978363,11.71264242,5.537282314,0,61.01785762,25.29916646,486.9826064,18.41300231,1
Sand,16.84904101,194.5967293,487.6730752,20.40812171,Sheet Pile,Anchors,8.228302921,96.61324904,17.07189008,9.864140185,1,15.39741297,19.93206676,490.6571757,84.03615054,2
Sand,21.68894346,118.5401666,235.7046902,9.205321597,Secant Pile,Bracing,20.31661155,83.21413408,38.43578176,7.322905674,0,79.37174258,5.981521976,344.7174806,12.15566295,1
Rock,9.30799678,69.85484225,348.3477114,17.92188123,Sheet Pile,Bracing,46.32926916,195.5707387,12.71011543,7.769463884,1,78.52028679,20.83543319,446.0480002,21.49922236,2
Sand,9.80722547,71.4145624,242.1370465,13.04867789,Secant Pile,Bracing,35.52109075,40.11293192,19.56215645,8.724628151,1,23.73177042,3.638118812,146.2827789,3.717528805,2
Clay,6.021715407,273.5477187,166.9141815,20.86501601,Secant Pile,Bracing,20.94618124,43.07185657,-7.288518567,2.156397627,1,28.86663027,4.93845257,487.4189424,14.08118621,2
Silt,9.223376577,97.96683118,414.7788484,6.813035671,Diaphragm Wall,Anchors,25.86360849,58.37343541,-9.870888937,0.838041591,1,93.79878655,20.79582665,114.2531826,91.73031455,2
Sand,11.96475848,130.8428905,127.1660174,18.41369025,Sheet Pile,Anchors,4.210650559,34.55146366,3.463993015,4.828944366,0,82.5671446,15.2690741,95.50633468,45.94387466,2
Sand,9.425262107,106.6641006,474.3226171,8.002299595,Diaphragm Wall,Anchors,49.22879482,75.87311964,27.43207011,5.140806956,0,69.77970331,46.27721629,100.4951927,7.766586178,2
Rock,7.217563344,138.7490765,258.7933976,10.5233627,Sheet Pile,Bracing,33.32036523,182.1668454,-3.330430865,8.291817799,0,8.223322151,18.78529027,307.9075655,95.9726838,1
Sand,8.015896778,67.35596069,100.0673465,8.905164609,Secant Pile,Anchors,14.27020342,123.0695681,-3.743092266,4.437835793,1,41.82640809,37.8929061,401.4384803,87.89923078,2
Sand,16.5194692,179.7649477,355.5645696,7.936620056,Secant Pile,Bracing,29.29041971,82.38930972,12.60283344,5.708530255,0,55.93018721,26.51237632,215.00023,75.46825209,1
Sand,10.15834296,66.9031409,123.4259543,25.29419569,Sheet Pile,Anchors,5.474118303,186.8821589,25.63103712,5.270709385,1,18.7411288,35.20428343,490.0531945,93.34727919,2
Rock,14.10674653,250.089127,238.0847789,10.71410433,Sheet Pile,Anchors,48.29183344,9.692846495,29.16395957,0.382027838,0,44.82265821,13.00579915,245.4890622,22.01294208,1
Sand,17.58543177,108.4280205,453.4882437,28.03234211,Diaphragm Wall,Bracing,8.739249394,42.05523558,-0.185212925,6.152148966,0,60.10258775,47.09524864,117.7018478,83.6369293,2
Silt,22.25987072,185.0029787,131.3448108,29.18801618,Sheet Pile,Anchors,32.4015159,113.177721,-5.622651895,8.280432858,0,32.73766801,26.50442485,259.6850367,68.99911964,2
Rock,5.982803496,270.0197719,519.6692462,18.42403269,Sheet Pile,Bracing,12.27272313,123.1105246,41.72183687,1.575005481,1,78.0944819,41.56620356,355.5667244,86.97592496,2
Silt,24.98525997,212.7193423,101.9099613,6.861030312,Sheet Pile,Bracing,35.87806913,7.911501313,4.336651041,5.943317339,0,84.04495816,18.25228467,424.5016012,79.69115657,2
Rock,20.69750974,183.2394466,223.4119346,13.11280257,Diaphragm Wall,Bracing,38.84106836,80.60775158,36.93405737,5.936105444,1,32.36094694,5.010567453,256.4457305,34.64950632,2
Sand,7.043975799,131.0834383,470.4520281,24.53877111,Sheet Pile,Bracing,33.67098645,129.830793,37.49202978,1.641849641,1,83.86571545,33.68558239,317.1230717,77.4398537,2
Silt,26.8394656,133.2504783,258.1350749,12.91954967,Secant Pile,Bracing,30.72497301,139.6141093,32.48874255,1.234635737,1,10.35765661,0.387982417,170.3051205,26.2456303,2
Rock,28.02181001,217.3717388,150.946194,5.349464894,Diaphragm Wall,Anchors,44.6234547,127.6279805,-0.714151634,9.80051943,0,83.77290986,23.76464883,340.6624369,32.8592163,2
Clay,6.526948996,298.5348403,280.1169594,18.0331926,Diaphragm Wall,Bracing,3.931335549,64.11264487,35.19908026,3.937191697,0,15.27504317,9.640095133,493.6873748,10.79057172,1
Sand,11.9219412,215.4597975,235.1966432,25.81826299,Secant Pile,Bracing,16.54573829,18.70402472,32.30878076,2.274217287,1,8.292715251,31.36877522,72.07410766,93.5076616,2
Rock,25.15503199,189.4458543,521.3559511,24.49001245,Secant Pile,Anchors,12.41437398,85.42248928,22.81976446,1.713245445,1,64.17754044,48.97099366,448.9388018,29.10033634,2
Clay,23.70649226,232.6626276,256.6739588,7.728324784,Secant Pile,Bracing,49.4006981,25.75088747,8.546111934,6.676017136,1,47.19373658,23.22014532,303.0271262,52.06224652,2
Rock,9.613025484,166.3014031,494.4662359,21.16464459,Sheet Pile,Bracing,19.46948898,189.5247317,4.437973235,6.094452973,1,90.78906004,40.87491283,163.4443968,39.13328365,2
Clay,10.23373308,65.03558565,545.9360724,8.953615113,Secant Pile,Bracing,36.63063496,95.0341732,-3.296093336,6.43552123,1,36.31891961,25.38920935,479.7003695,95.99281206,2
Sand,14.26180257,190.574204,316.9087098,8.891603433,Sheet Pile,Bracing,34.23625819,63.45183487,18.03663868,0.880060275,0,28.71522634,24.79200156,267.5094364,33.50491709,1
Silt,17.11307463,289.4063211,554.9715719,26.59993788,Diaphragm Wall,Bracing,10.60406187,153.2608142,22.18934815,8.935345835,0,50.07349061,46.52117466,199.2606133,77.85458214,2
Clay,20.45636929,93.82573559,288.659027,9.741061724,Diaphragm Wall,Bracing,11.94988401,99.58971852,9.763644478,3.892663968,0,45.59461858,44.49829344,131.6739327,85.54161546,2
Rock,14.22284099,222.5012227,582.0392082,10.10767836,Secant Pile,Anchors,14.06422818,62.0068048,16.14474872,3.133694064,1,34.44280462,39.29002326,160.0034946,43.56064975,2
Sand,16.5633679,100.2334222,144.6447623,3.017641551,Sheet Pile,Bracing,20.55636391,162.3935485,9.993295155,4.623614472,1,69.37412987,14.81278767,424.7820687,37.81718145,2
Clay,23.68677345,183.9569211,443.5096333,26.50806392,Secant Pile,Bracing,11.71625328,173.4304302,25.25533315,3.900660657,0,75.95618339,27.25042079,326.4845042,74.77458209,2
Rock,5.917080072,74.16911241,346.9070202,24.40005996,Secant Pile,Anchors,0.982574137,134.6016333,39.56925643,8.635770031,0,85.2983969,11.19486167,460.9605288,91.28959803,2
Rock,11.31092361,162.5927341,293.8244027,19.93788125,Sheet Pile,Bracing,43.96965284,9.392884482,-0.984385587,9.292609752,1,97.28566047,22.1958349,154.3858035,75.49317331,2
Rock,22.83373965,239.0408322,416.3559394,23.25717563,Secant Pile,Bracing,48.28049157,113.264576,10.97748454,3.034532164,1,26.66561921,24.21065329,104.5123582,22.71263656,2
Clay,27.38017094,136.8928811,451.9285458,7.10531132,Diaphragm Wall,Bracing,17.07851935,152.6589824,-2.252226783,8.639358075,1,71.60934825,41.58200201,52.73938894,88.83077474,2
Clay,17.79193605,216.2279311,102.1816348,15.37473705,Secant Pile,Bracing,16.92534397,27.30060242,24.37190737,7.815231295,0,39.42582355,44.80141827,278.5379169,38.75816674,2
Clay,18.30283713,248.8624902,183.4765444,12.48292346,Sheet Pile,Bracing,0.354590639,45.73415028,30.08787802,9.308076723,1,67.7081972,20.73100312,499.2381187,57.62294118,2
Silt,7.679300283,281.7944549,456.5230253,5.531966209,Sheet Pile,Anchors,34.01253442,176.499021,41.25520029,2.457503122,1,47.59816903,0.885222254,362.734371,83.14356193,2
Clay,16.18530917,108.6605205,433.1927068,16.1255231,Diaphragm Wall,Anchors,41.27199479,4.024344371,5.337955944,5.769591501,1,99.37731028,43.08869199,188.7775664,18.83947674,2
Clay,18.31543166,149.828979,583.0237526,27.85997056,Sheet Pile,Bracing,7.330415018,150.5454276,42.26161632,2.745445847,0,72.89021358,8.713933925,444.5863624,78.45101357,2
Clay,11.06176259,88.10400333,480.5188951,4.081596214,Sheet Pile,Anchors,7.983317468,94.7546585,-6.52055305,8.240944905,1,95.24913004,31.09409819,401.7750197,59.61627979,2
Silt,11.73108077,298.1208755,575.3863539,10.86944466,Diaphragm Wall,Bracing,39.5041625,89.35443177,23.16576249,0.053241906,0,83.49695495,1.248545022,56.93682473,89.33416418,2
Clay,14.43210408,281.750242,451.2702508,8.603605278,Secant Pile,Anchors,30.81453742,1.419306499,-6.857700436,5.648191629,1,90.29010112,19.97532376,417.5872162,17.19704018,2
Rock,5.501779944,184.9892826,249.0261043,9.429959649,Diaphragm Wall,Anchors,2.243027881,163.8796462,39.15758033,3.392034313,1,81.44191972,49.29801511,185.2370408,42.0682237,2
Clay,13.05197914,260.5083236,152.6824611,27.5277329,Secant Pile,Bracing,31.12734952,71.96498013,19.13949814,3.226837071,0,45.91591304,5.034680055,117.3530591,83.28430929,2
Rock,10.28620017,180.2394943,490.9119317,15.63786446,Diaphragm Wall,Anchors,15.44588614,108.1531263,26.81415929,6.449063239,1,25.17884533,21.1846576,151.8488779,1.923170346,2
Rock,13.1874338,205.896422,422.0746107,15.59008415,Secant Pile,Bracing,18.43625777,135.4601373,35.73656593,8.514844493,0,37.03201755,15.35749751,260.860912,11.22013668,1
Rock,7.994053295,72.28110803,124.0930062,23.53554235,Diaphragm Wall,Bracing,38.48657091,140.5259153,-1.732915763,6.091953914,1,2.023623264,45.25440617,241.1905672,99.05652128,2
Silt,27.26318202,238.8176051,280.025233,7.171289508,Secant Pile,Bracing,40.54675963,191.1960118,-7.877464093,8.531729786,0,52.39931675,43.4670054,179.9992847,28.03941786,2
